LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
Noida,2020,Honda,Amaze 1.2 V MT I-VTEC,Manual,"13,903 km",Petrol,1st Owner,"₹6,91,599"
Noida,2016,Honda,Amaze 1.2 SMT I VTEC,Manual,"66,399 km",Petrol + CNG,2nd Owner,"₹4,82,099"
Noida,2014,Maruti,Ciaz VDI PLUS,Manual,"62,366 km",Diesel,1st Owner,"₹5,25,199"
Noida,2017,Maruti,Swift VXI,Manual,"25,626 km",Petrol,1st Owner,"₹5,38,699"
Noida,2017,Maruti,Swift VDI ABS,Manual,"69,894 km",Diesel,1st Owner,"₹4,74,699"
Noida,2015,Maruti,Swift VDI ABS,Manual,"76,264 km",Diesel,1st Owner,"₹4,55,299"
Noida,2011,Hyundai,i20 MAGNA O 1.2,Manual,"44,007 km",Petrol,1st Owner,"₹2,58,999"
Noida,2017,Hyundai,Elite i20 SPORTZ 1.2,Manual,"64,918 km",Petrol,1st Owner,"₹5,03,999"
Noida,2018,Volkswagen,Polo COMFORTLINE 1.0 PETROL,Manual,"23,826 km",Petrol,1st Owner,"₹5,27,699"
Noida,2018,Hyundai,Elite i20 SPORTZ 1.2,Manual,"48,582 km",Petrol,1st Owner,"₹5,90,199"
Noida,2020,Maruti,Baleno DELTA 1.2 K12,Manual,"11,679 km",Petrol,1st Owner,"₹6,63,599"
Noida,2018,Maruti,Baleno ZETA 1.2 K12,Manual,"37,284 km",Petrol,1st Owner,"₹6,09,999"
Noida,2017,Maruti,Celerio ZXI AMT,Automatic,"38,235 km",Petrol,1st Owner,"₹4,10,499"
Noida,2017,Maruti,Wagon R 1.0 VXI,Manual,"4,956 km",Petrol,1st Owner,"₹3,89,199"
Noida,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"20,990 km",Petrol,1st Owner,"₹6,05,699"
Noida,2015,Maruti,Swift VDI ABS,Manual,"1,64,520 km",Diesel,1st Owner,"₹3,82,699"
Noida,2017,Maruti,Alto 800 LXI,Manual,"2,335 km",Petrol,1st Owner,"₹3,11,999"
Noida,2017,Ford,New Figo 1.5 TITANIUM,Manual,"41,678 km",Diesel,2nd Owner,"₹4,82,699"
Noida,2014,Maruti,Swift VDI,Manual,"1,07,030 km",Diesel,1st Owner,"₹4,21,699"
Noida,2016,Maruti,Baleno SIGMA 1.2 K12,Manual,"57,595 km",Petrol,2nd Owner,"₹4,01,199"
Noida,2019,Maruti,Swift VXI,Manual,"31,304 km",Petrol,1st Owner,"₹5,25,499"
Noida,2016,Hyundai,Elite i20 1.4 CRDI ASTA (O),Manual,"78,560 km",Diesel,1st Owner,"₹5,15,500"
Noida,2012,Maruti,Swift VDI,Manual,"31,084 km",Diesel,1st Owner,"₹3,14,499"
Noida,2015,BMW,3 Series 320D,Automatic,"33,958 km",Diesel,2nd Owner,"₹18,42,699"
Noida,2016,Mercedes,Benz E Class E200 CGI EDITION E,Manual,"19,041 km",Petrol,2nd Owner,"₹23,22,099"
Noida,2014,Ssangyong,Rexton RX 6,Manual,"45,187 km",Diesel,2nd Owner,"₹6,48,399"
Noida,2015,Audi,Q3 35 TDI Quattro,Automatic,"67,720 km",Diesel,3rd Owner,"₹15,60,499"
Noida,2020,Hyundai,Verna S PETROL MT,Manual,"19,158 km",Petrol,1st Owner,"₹8,87,099"
